,DOC_NO,SENT_NO,TEXT,0,1,2,3,4,5,6,7,8
57,ru_pud-ud-test_n01053,n01053008,"«Некоторые люди это поняли, и Боно был одним из них», — сказала Лейв в недавнем интервью. В свои 20 она категорически протестует против притеснений и активно помогает девушкам принимать свои собственные стандарты красоты.","«Некоторые люди это поняли, и Боно был одним из них», — сказала Лейв в недавнем интервью", В свои 20 она категорически протестует против притеснений и активно помогает девушкам принимать свои собственные стандарты красоты,,,,,,,
58,ru_pud-ud-test_n01054,n01054011,"Как только опубликовали официальные фотографии с вечеринки, социальные сети буквально переполнились комментариями, и совсем не благосклонными. Многие люди, включая группы коренных жителей, утверждают, что они делают банальной культуру первых народов.","Как только опубликовали официальные фотографии с вечеринки, социальные сети буквально переполнились комментариями, и совсем не благосклонными"," Многие люди, включая группы коренных жителей, утверждают, что они делают банальной культуру первых народов",,,,,,,
59,ru_pud-ud-test_n01055,n01055008,"Цель этих слушаний Комиссии по телевидению, радиовещанию и телекоммуникациям Канады (CRTC) — работа с мнением влиятельных промышленников и общественности. Это относится не только к контенту развлекательных материалов, но и к образованию, научным исследованиям, а, возможно, и, что самое важное, к политическим дебатам.","Цель этих слушаний Комиссии по телевидению, радиовещанию и телекоммуникациям Канады (CRTC) — работа с мнением влиятельных промышленников и общественности"," Это относится не только к контенту развлекательных материалов, но и к образованию, научным исследованиям, а, возможно, и, что самое важное, к политическим дебатам",,,,,,,
60,ru_pud-ud-test_n01057,n01057014,"Обломки образовали кольцо вокруг экватора земли и в конечном итоге соединились, таким образом образовав луну. Но осталось еще много неотвеченных вопросов.","Обломки образовали кольцо вокруг экватора земли и в конечном итоге соединились, таким образом образовав луну", Но осталось еще много неотвеченных вопросов,,,,,,,
61,ru_pud-ud-test_n01058,n01058037,"В городке Хиллсборо, который находится сразу за Чапел-Хиллом, неизвестные забросали в прошлом месяце зажигательными бомбами штаб-квартиру Республиканской партии. После принятия законопроекта, ограничивающего права голоса в Северной Каролине в 2013 году, Кэмпбелл в церквях встречался с людьми и учил их, как преодолевать проблемы, связанные с регистрацией.","В городке Хиллсборо, который находится сразу за Чапел-Хиллом, неизвестные забросали в прошлом месяце зажигательными бомбами штаб-квартиру Республиканской партии"," После принятия законопроекта, ограничивающего права голоса в Северной Каролине в 2013 году, Кэмпбелл в церквях встречался с людьми и учил их, как преодолевать проблемы, связанные с регистрацией",,,,,,,
62,ru_pud-ud-test_n01059,n01059008,"Это рассогласование между экономическими данными и политической риторикой знакомо или должно быть таковым. Экономисты-республиканцы предупреждали, что эти данные будут приниматься как доказательство, что экономическая политика их партии является некомпетентной.",Это рассогласование между экономическими данными и политической риторикой знакомо или должно быть таковым," Экономисты-республиканцы предупреждали, что эти данные будут приниматься как доказательство, что экономическая политика их партии является некомпетентной",,,,,,,
63,ru_pud-ud-test_n01059,n01059054,"Между Суллой и Трампом, Римом и США различий больше, чем схожести, но это не дискредитирует сходные черты.","Между Суллой и Трампом, Римом и США различий больше, чем схожести, но это не дискредитирует сходные черты",,,,,,,,
64,ru_pud-ud-test_n01060,n01060069,"Затем она согласилась: «Вам следует обратить внимание на то, где она признала, что нам надо сделать что-то другое, что мы можем делать лучше, и где она выразила свое сожаление».","Затем она согласилась: «Вам следует обратить внимание на то, где она признала, что нам надо сделать что-то другое, что мы можем делать лучше, и где она выразила свое сожаление»",,,,,,,,
65,ru_pud-ud-test_n01061,n01061016,"Но по мере того как критика Клинтон в качестве Первой леди становилась все более едкой, Карел становилась все более чуткой. «Когда я его играю, я чувствую себя могущественным», — пояснил Джон Ди Доменико, имитатор Дональда Трампа, Slate в прошлом году. Поскольку истерия президентских выборов 2016 года усиливается, внимание Карел поглощает более тревожная угроза, чем всякая ерунда.","Но по мере того как критика Клинтон в качестве Первой леди становилась все более едкой, Карел становилась все более чуткой"," «Когда я его играю, я чувствую себя могущественным», — пояснил Джон Ди Доменико, имитатор Дональда Трампа, Slate в прошлом году"," Поскольку истерия президентских выборов 2016 года усиливается, внимание Карел поглощает более тревожная угроза, чем всякая ерунда",,,,,,
66,ru_pud-ud-test_n01062,n01062035,"Обычно это исполнители, которые хотят сделать кучу вещей. Потом реклама заканчивается.","Обычно это исполнители, которые хотят сделать кучу вещей", Потом реклама заканчивается,,,,,,,
67,ru_pud-ud-test_n01063,n01063011,"Продюссеры Miami Bass с клиническим упорством овладевают искусством двиганья задницами — это их главная забота. В недавнем интервью Zay and Zayion рассказали о записи их версии «Knuck If You Buck» («Разрешу, если заплатишь») на домашнем ноутбуке.",Продюссеры Miami Bass с клиническим упорством овладевают искусством двиганья задницами — это их главная забота," В недавнем интервью Zay and Zayion рассказали о записи их версии «Knuck If You Buck» («Разрешу, если заплатишь») на домашнем ноутбуке",,,,,,,
68,ru_pud-ud-test_n01063,n01063051,"Их возрождение подчеркивает привлекательность хорошей возможности проявить себя, будь то артистически или иным образом: трудности, развитие и тесные отношения.","Их возрождение подчеркивает привлекательность хорошей возможности проявить себя, будь то артистически или иным образом: трудности, развитие и тесные отношения",,,,,,,,
69,ru_pud-ud-test_n01064,n01064009,"Платон считал, что было бы гораздо безопаснее доверить власть хорошо образованным хранителям мудрости. Как и многие мои знакомые, последние месяцы я засиживался допоздна, в ужасе читая опросы. Каплан отметает ретроспективное голосование, цитируя пару ученых, которые называют его «не более рациональным, чем убийство фараона, когда нет разлива Нила».","Платон считал, что было бы гораздо безопаснее доверить власть хорошо образованным хранителям мудрости"," Как и многие мои знакомые, последние месяцы я засиживался допоздна, в ужасе читая опросы"," Каплан отметает ретроспективное голосование, цитируя пару ученых, которые называют его «не более рациональным, чем убийство фараона, когда нет разлива Нила»",,,,,,
70,ru_pud-ud-test_n01065,n01065073,Но не было больше ничего очевидно артистического в ней или в её поведении с другими людьми.,Но не было больше ничего очевидно артистического в ней или в её поведении с другими людьми,,,,,,,,
71,ru_pud-ud-test_n01066,n01066045,"В 2010 г. фонд выпустил типографское издание «Zettel’s Traum» и этим устранил барьер для тех, кого останавливала книга, представленная в виде фотокопии машинописных страниц. Переписываясь с Вудз по электронной почте, мне удалось попробовать себя в исследовании этимологии. «Полное игнорирование состояния его здоровья», — сказала его жена Алисa.",В 2010 г," фонд выпустил типографское издание «Zettel’s Traum» и этим устранил барьер для тех, кого останавливала книга, представленная в виде фотокопии машинописных страниц"," Переписываясь с Вудз по электронной почте, мне удалось попробовать себя в исследовании этимологии"," «Полное игнорирование состояния его здоровья», — сказала его жена Алисa",,,,,
72,ru_pud-ud-test_n01067,n01067014,"Каждая карта на выставке рассказывает свою собственную историю, не имеющую отношения к реальности. Также впервые экспонируются карты Министерства обороны Великобритании, разрабатывающие сценарии сражений времен холодной войны, которые были использованы на военных экзаменах в колледжах.","Каждая карта на выставке рассказывает свою собственную историю, не имеющую отношения к реальности"," Также впервые экспонируются карты Министерства обороны Великобритании, разрабатывающие сценарии сражений времен холодной войны, которые были использованы на военных экзаменах в колледжах",,,,,,,
73,ru_pud-ud-test_n01068,n01068029,"Округ находится в районе Северного Кестивена, в котором 62% голосующих поддержали выход из ЕС. Его умения находить ответы на вопросы налогоплательщиков будет катастрофически не хватать.","Округ находится в районе Северного Кестивена, в котором 62% голосующих поддержали выход из ЕС", Его умения находить ответы на вопросы налогоплательщиков будет катастрофически не хватать,,,,,,,
74,ru_pud-ud-test_n01069,n01069004,"Кристиан Вольмар, который написал ряд книг по истории железных дорог, будет участвовать в конкурсе 1 декабря. Либерал-демократы, которые представляли богатые пригороды до 2010 года, надеются вернуть свои позиции благодаря кандидату Саре Олни.","Кристиан Вольмар, который написал ряд книг по истории железных дорог, будет участвовать в конкурсе 1 декабря"," Либерал-демократы, которые представляли богатые пригороды до 2010 года, надеются вернуть свои позиции благодаря кандидату Саре Олни",,,,,,,
75,ru_pud-ud-test_n01069,n01069023,"Он был крайне любезен и принял это как мужчина, я не могу сердиться.","Он был крайне любезен и принял это как мужчина, я не могу сердиться",,,,,,,,
76,ru_pud-ud-test_n01070,n01070016,"Более 330 членов экипажа находятся на борту корабля. Вега намекнул, что в силу своего возраста многие могли не знать об этой истории. Там гибнут люди.",Более 330 членов экипажа находятся на борту корабля," Вега намекнул, что в силу своего возраста многие могли не знать об этой истории", Там гибнут люди,,,,,,
77,ru_pud-ud-test_n01071,n01071009,"Тепловая электростанция на угольном топливе в Бадарпуре, на юго-востоке Дели, будет остановлена на 10 дней, так же как и городские дизель-генераторы.","Тепловая электростанция на угольном топливе в Бадарпуре, на юго-востоке Дели, будет остановлена на 10 дней, так же как и городские дизель-генераторы",,,,,,,,
78,ru_pud-ud-test_n01072,n01072010,"Затем он провел четыре года на радио BBC World Service в Bush House. Он работал в BBC в течение десяти лет. В одном из многих прощальных постов на Facebook была строчка, которая могла бы понравиться Крису: «Я не встречал большего африканца, чем Вы».",Затем он провел четыре года на радио BBC World Service в Bush House, Он работал в BBC в течение десяти лет," В одном из многих прощальных постов на Facebook была строчка, которая могла бы понравиться Крису: «Я не встречал большего африканца, чем Вы»",,,,,,
79,ru_pud-ud-test_n01073,n01073004,Кто может остановить Австралию? Их божественное право на первое место в мире больше не гарантировано?,Кто может остановить Австралию? Их божественное право на первое место в мире больше не гарантировано?,,,,,,,,
80,ru_pud-ud-test_n01074,n01074011,"У них только один шанс реабилитироваться — обыграть команду Англии. Южная Африка почти подошла к точке невозврата, и мы должны быть в состоянии удовлетворить их желание.",У них только один шанс реабилитироваться — обыграть команду Англии," Южная Африка почти подошла к точке невозврата, и мы должны быть в состоянии удовлетворить их желание",,,,,,,
81,ru_pud-ud-test_n01074,n01074026,"У нас отличная команда, и мы можем идти вперёд.","У нас отличная команда, и мы можем идти вперёд",,,,,,,,
82,ru_pud-ud-test_n01075,n01075028,"Было похоже, будто он перекидывал мяч вперед-назад под тремя опрокинутыми чашками. Команда Австралии, закаленная в последних играх чемпионата по регби, была в отличной форме.","Было похоже, будто он перекидывал мяч вперед-назад под тремя опрокинутыми чашками"," Команда Австралии, закаленная в последних играх чемпионата по регби, была в отличной форме",,,,,,,
83,ru_pud-ud-test_n01076,n01076006,"Победа Дональда Трампа сразу бы сделала мир более тревожным и неспокойным, чем сейчас. Клинтон известна своим умением точно прогнозировать, однако на ситуацию повлияет мнение американцев, боящихся войны. Он высказался за пытки.","Победа Дональда Трампа сразу бы сделала мир более тревожным и неспокойным, чем сейчас"," Клинтон известна своим умением точно прогнозировать, однако на ситуацию повлияет мнение американцев, боящихся войны", Он высказался за пытки,,,,,,
84,ru_pud-ud-test_n01077,n01077018,"Мне также непросто с паролями. Еще там есть так называемые правдивые истории, которые публикуются в виде показательных картинок с бегущим текстом под ними.",Мне также непросто с паролями," Еще там есть так называемые правдивые истории, которые публикуются в виде показательных картинок с бегущим текстом под ними",,,,,,,
85,ru_pud-ud-test_n01078,n01078025,"Конечно, я понимаю, что в современной Германии не должно быть места для нацистского режима.","Конечно, я понимаю, что в современной Германии не должно быть места для нацистского режима",,,,,,,,
86,ru_pud-ud-test_n01079,n01079015,"В углу стоит девушка в хиджабе и джинсах, которая выглядит так непритязательно, что я думаю, что это еще одна помощница. Художники проникают прямо в сердца людей; это единственный случай, когда мы встречаемся в одном месте и забываем о наших разногласиях. Его более необычные титулы включают звание Всемирного посла Корпорации здравоохранения и больниц Нью-Йорка и место в Гарвардской бизнес-школе.","В углу стоит девушка в хиджабе и джинсах, которая выглядит так непритязательно, что я думаю, что это еще одна помощница"," Художники проникают прямо в сердца людей; это единственный случай, когда мы встречаемся в одном месте и забываем о наших разногласиях", Его более необычные титулы включают звание Всемирного посла Корпорации здравоохранения и больниц Нью-Йорка и место в Гарвардской бизнес-школе,,,,,,
87,ru_pud-ud-test_n01080,n01080039,"Я запросто могу проделать это со своей жизнью. Мне хотелось посмотреть его с ними, но в конце концов они решили, что им лучше посмотреть его без меня.",Я запросто могу проделать это со своей жизнью," Мне хотелось посмотреть его с ними, но в конце концов они решили, что им лучше посмотреть его без меня",,,,,,,
88,ru_pud-ud-test_n01081,n01081022,"Мы не можем позволить Дональду Трампу стать президентом, чтобы такой расист, сексист и невероятный непрофессионал получил полномочия главнокомандующего.","Мы не можем позволить Дональду Трампу стать президентом, чтобы такой расист, сексист и невероятный непрофессионал получил полномочия главнокомандующего",,,,,,,,
89,ru_pud-ud-test_n01082,n01082014,"«Все больше людей берут кредиты… Хотя сейчас заимствование управляемо, внезапное изменение обстоятельств может привести к проблемам с долгами».","«Все больше людей берут кредиты… Хотя сейчас заимствование управляемо, внезапное изменение обстоятельств может привести к проблемам с долгами»",,,,,,,,
90,ru_pud-ud-test_n01083,n01083013,"Аргументирует она это тем, что это не обеспечивает достаточной защиты интересов американских рабочих и может негативно сказаться на их уровне жизни и условиях труда. В этом контексте выступление против торговли резонно.","Аргументирует она это тем, что это не обеспечивает достаточной защиты интересов американских рабочих и может негативно сказаться на их уровне жизни и условиях труда", В этом контексте выступление против торговли резонно,,,,,,,
91,ru_pud-ud-test_n01084,n01084008,"Т. е. теоретически семейная пара может открыть четыре счета «Теско» и получить 3% от 12000 фунтов стерлингов, т. е. 360 фунтов стерлингов. В то же время клиенты Банка Шотландии получают начисления в размере 3% со счетов от 3 до 5 тысяч британских фунтов, если они подключили себе бесплатную услугу Vantage. Эта ставка в 3% работает также для владельцев карт Nectar, которые хотят взять кредит в размере от 15001 до 19999 фунтов стерлингов на период от двух до трех лет. То есть в теории доступ к своим деньгам можно получить в любой момент.",Т, е," теоретически семейная пара может открыть четыре счета «Теско» и получить 3% от 12000 фунтов стерлингов, т", е, 360 фунтов стерлингов," В то же время клиенты Банка Шотландии получают начисления в размере 3% со счетов от 3 до 5 тысяч британских фунтов, если они подключили себе бесплатную услугу Vantage"," Эта ставка в 3% работает также для владельцев карт Nectar, которые хотят взять кредит в размере от 15001 до 19999 фунтов стерлингов на период от двух до трех лет", То есть в теории доступ к своим деньгам можно получить в любой момент,
92,ru_pud-ud-test_n01085,n01085006,"Сера является главным питательным веществом, обеспечивающим здоровый рост растений, однако в почве Соединенного Королевства наблюдается природный дефицит этого важного элемента. Давайте перенесемся обратно в 2016 год и обратим внимание вот на что.","Сера является главным питательным веществом, обеспечивающим здоровый рост растений, однако в почве Соединенного Королевства наблюдается природный дефицит этого важного элемента", Давайте перенесемся обратно в 2016 год и обратим внимание вот на что,,,,,,,
93,ru_pud-ud-test_n01086,n01086013,"Этот мир может бесить и быть полным абсурда, но по крайней мере хоть у кого-то есть чувство собственного достоинства, чтобы не сидеть на месте и протестовать против этого. В результате ты только и делаешь, что сидишь и ждешь очередного шума и злишься еще сильнее, когда слышишь его.","Этот мир может бесить и быть полным абсурда, но по крайней мере хоть у кого-то есть чувство собственного достоинства, чтобы не сидеть на месте и протестовать против этого"," В результате ты только и делаешь, что сидишь и ждешь очередного шума и злишься еще сильнее, когда слышишь его",,,,,,,
94,ru_pud-ud-test_n01087,n01087005,"Справедливо сказать, что Рокко Каталано работает и в стиле ретро. Я думаю, именно поэтому они окунулись в узоры и краски.","Справедливо сказать, что Рокко Каталано работает и в стиле ретро"," Я думаю, именно поэтому они окунулись в узоры и краски",,,,,,,
95,ru_pud-ud-test_n01087,n01087035,"«Мне нравились горячие и страстные цвета», — говорит он.","«Мне нравились горячие и страстные цвета», — говорит он",,,,,,,,
96,ru_pud-ud-test_n01088,n01088026,Но в ответ на мое предложение позволить Фрэнку заняться моделированием для неё она лишь смеется.,Но в ответ на мое предложение позволить Фрэнку заняться моделированием для неё она лишь смеется,,,,,,,,
97,ru_pud-ud-test_n01089,n01089007,"Обычно в офисе присутствует много одежды и совсем немного еды. Сама же Винтур появляется в кадре лишь на короткое время, надевая солнцезащитные очки перед интервью.",Обычно в офисе присутствует много одежды и совсем немного еды," Сама же Винтур появляется в кадре лишь на короткое время, надевая солнцезащитные очки перед интервью",,,,,,,
98,ru_pud-ud-test_n01090,n01090004,"Я смотрела на фотографии мотокросса, и чем больше я смотрела, тем чаще я встречала лицо этой женщины, а сами фото выглядели словно из 1970-х. Мне нравится играть с этими вещами, и я всегда ищу муз, которые соответствуют этому, ведь создавать коллекцию под их влиянием так интересно.","Я смотрела на фотографии мотокросса, и чем больше я смотрела, тем чаще я встречала лицо этой женщины, а сами фото выглядели словно из 1970-х"," Мне нравится играть с этими вещами, и я всегда ищу муз, которые соответствуют этому, ведь создавать коллекцию под их влиянием так интересно",,,,,,,
99,ru_pud-ud-test_n01091,n01091013,"В лучшем случае это наивно, а в худшем — охотничье лобби в очередной раз окажется безнаказанным. Глава природоохранной организации Джефф Нотт заявил следующее: «Введут они запрет или наоборот выдадут лицензию — я буду удивлен в любом случае». Позиция Королевского общества защиты птиц также привела к конфликту со многими активными борцами по охране природы, начиная с Марка Эйвери, автора петиции, и заканчивая британским телеведущим Крисом Пэкхэмом.","В лучшем случае это наивно, а в худшем — охотничье лобби в очередной раз окажется безнаказанным", Глава природоохранной организации Джефф Нотт заявил следующее: «Введут они запрет или наоборот выдадут лицензию — я буду удивлен в любом случае»," Позиция Королевского общества защиты птиц также привела к конфликту со многими активными борцами по охране природы, начиная с Марка Эйвери, автора петиции, и заканчивая британским телеведущим Крисом Пэкхэмом",,,,,,
100,ru_pud-ud-test_n01092,n01092008,"Давайте просто скажем, что он неправ. А что же насчет позиции Австралии?","Давайте просто скажем, что он неправ", А что же насчет позиции Австралии?,,,,,,,
101,ru_pud-ud-test_n01092,n01092040,"«Мы активно обсуждаем, как свести количество судебных разбирательств к минимуму, работая только с теми, у кого серьезная роль в проекте», — заявил посол.","«Мы активно обсуждаем, как свести количество судебных разбирательств к минимуму, работая только с теми, у кого серьезная роль в проекте», — заявил посол",,,,,,,,
102,ru_pud-ud-test_n01093,n01093007,"Один из официальных представителей ЕС заявил, что без предложенных ограничений на ловлю «треска в Кельтском море может исчезнуть». Однако большие сокращения в Кельтском и Ирландском морях также были заявлены для трески, морского языка, камбалы, мегрима и сайды. Защитники прав природы с радостью отреагировали на решение комиссии.","Один из официальных представителей ЕС заявил, что без предложенных ограничений на ловлю «треска в Кельтском море может исчезнуть»"," Однако большие сокращения в Кельтском и Ирландском морях также были заявлены для трески, морского языка, камбалы, мегрима и сайды", Защитники прав природы с радостью отреагировали на решение комиссии,,,,,,
103,ru_pud-ud-test_n01094,n01094014,"Только 50 из них были настоящими интернет-магазинами. «В свое время получить доступ к Agora можно было только по приглашению, однако многие другие из этих интернет-магазинов легко доступны, если вы знаете, как искать», — добавил доктор Ли.",Только 50 из них были настоящими интернет-магазинами," «В свое время получить доступ к Agora можно было только по приглашению, однако многие другие из этих интернет-магазинов легко доступны, если вы знаете, как искать», — добавил доктор Ли",,,,,,,
104,ru_pud-ud-test_n01095,n01095004,"Во времена нашей молодости таких вещей не было, и сейчас те, у кого нет детей, через недовольство выражают всю свою ненависть к современным методам воспитания. И я неспроста называю его зверем.","Во времена нашей молодости таких вещей не было, и сейчас те, у кого нет детей, через недовольство выражают всю свою ненависть к современным методам воспитания", И я неспроста называю его зверем,,,,,,,
105,ru_pud-ud-test_n01096,n01096006,"Мир, а следовательно и Соединенное Королевство, столкнулись с проблемой нехватки людей, которые обладают навыками, необходимыми для построения эффективной защиты. Фирмы могут попытаться установить межсетевую защиту между уязвимыми системами и иностранными государствами, но это не всегда работает.","Мир, а следовательно и Соединенное Королевство, столкнулись с проблемой нехватки людей, которые обладают навыками, необходимыми для построения эффективной защиты"," Фирмы могут попытаться установить межсетевую защиту между уязвимыми системами и иностранными государствами, но это не всегда работает",,,,,,,
106,ru_pud-ud-test_n01097,n01097020,"После того как я заметил, что это является популярной темой для обсуждений в интернете, мой список сильно увеличился, включив в себя города практически из каждого штата. Я заметил несколько.","После того как я заметил, что это является популярной темой для обсуждений в интернете, мой список сильно увеличился, включив в себя города практически из каждого штата", Я заметил несколько,,,,,,,
107,ru_pud-ud-test_n01098,n01098034,"Я возвращаюсь в поезд, и мы продолжаем наше путешествие на юг. Мы проезжаем мимо небольшого городка с мечетью.","Я возвращаюсь в поезд, и мы продолжаем наше путешествие на юг", Мы проезжаем мимо небольшого городка с мечетью,,,,,,,
108,ru_pud-ud-test_n01099,n01099035,"После этого я гуляю по утреннему рынку (открытому с 06:30 до 10:00): здесь есть и рисовые леденцы, и осиные коконы (куколки считаются деликатесом), и легкие буйволов, листья и кора бетелевой пальмы, живые жабы и сомы.","После этого я гуляю по утреннему рынку (открытому с 06:30 до 10:00): здесь есть и рисовые леденцы, и осиные коконы (куколки считаются деликатесом), и легкие буйволов, листья и кора бетелевой пальмы, живые жабы и сомы",,,,,,,,
109,ru_pud-ud-test_n01101,n01101003,"Данное событие, возможно, является самым важным в Пекине с 1997 года, когда Великобритания официально передала Гонконг КНР. Присяга подразумевает, что законодатели клянутся в верности Гонконгу как региону в составе Китайской Народной Республики. «Пекин считает, что вмешательство необходимо для возобновления работы законодательной власти в городе», — сказал он. Правительство Гонконга, возглавляемое пропекинскими политиками, утверждает, что двое пронезависимых законодателей не должны вступить в должность.","Данное событие, возможно, является самым важным в Пекине с 1997 года, когда Великобритания официально передала Гонконг КНР"," Присяга подразумевает, что законодатели клянутся в верности Гонконгу как региону в составе Китайской Народной Республики"," «Пекин считает, что вмешательство необходимо для возобновления работы законодательной власти в городе», — сказал он"," Правительство Гонконга, возглавляемое пропекинскими политиками, утверждает, что двое пронезависимых законодателей не должны вступить в должность",,,,,
110,ru_pud-ud-test_n01102,n01102006,"На шоу Эндрю Марра на BBC он заявил следующее: «Откровенно говоря, всеобщие выборы — это последнее, чего хочет правительство».","На шоу Эндрю Марра на BBC он заявил следующее: «Откровенно говоря, всеобщие выборы — это последнее, чего хочет правительство»",,,,,,,,
111,ru_pud-ud-test_n01103,n01103013,Он мечтает закончить свою карьеру здесь.,Он мечтает закончить свою карьеру здесь,,,,,,,,
112,ru_pud-ud-test_n01104,n01104011,"Сведенная вничью игра, в которой вы вели, выглядит как безразличие, но три таких игры подряд уже свидетельствуют о слабости. Мы очень расстроены, ведь, играя на своем поле, мы умудрились потерять шесть очков в рейтинге.","Сведенная вничью игра, в которой вы вели, выглядит как безразличие, но три таких игры подряд уже свидетельствуют о слабости"," Мы очень расстроены, ведь, играя на своем поле, мы умудрились потерять шесть очков в рейтинге",,,,,,,
